snr_bob,ber_bob,snr_eve,ber_eve,security_gap
10,0.34054800868034363,0,0.384770005941391,10
10,0.34156298637390137,0,0.3861590027809143,10
11,0.33976998925209045,0,0.3860569894313812,11
11,0.34343600273132324,5,0.36017799377441406,6
